DAY_OF_WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,DAILY_SALES
0,2,3,208,6998.0
0,14,3,209,7437.0
3,6,2,210,8378.75
4,13,1,211,15588.0
5,10,1,212,22862.0
0,8,2,213,5964.0
1,14,2,214,6526.0
2,5,2,215,8356.0
2,13,3,216,7077.5
5,3,3,217,7585.5
1,11,1,218,77993.0
0,13,3,219,9641.5
3,9,3,220,14247.0
2,13,2,221,2239.0
2,12,3,222,5991.0
3,3,2,223,18840.5
3,6,2,224,8250.25
6,2,2,122,5208.0
6,9,2,225,8365.0
0,13,2,226,2695.0
0,2,2,227,5729.0
2,1,1,228,17456.0
5,1,3,193,6305.0
6,2,3,229,7450.0
0,5,1,230,24262.0
6,3,3,231,13900.0
0,9,3,232,16187.0
2,11,1,233,24657.0
0,1,0,234,7225.0
6,3,0,160,12098.5
0,6,2,235,29322.0
0,1,2,236,8746.0
0,9,1,237,26505.0
5,10,0,238,15756.0
4,9,1,239,58901.0
5,11,1,240,55755.0
4,3,3,241,16483.0
4,3,3,242,7882.0
1,9,3,243,12096.0
6,5,1,244,24088.0
2,3,0,245,6008.0
2,6,0,246,8411.5
2,5,0,92,5134.0
3,1,0,247,7660.0
3,4,0,248,5543.0
1,2,0,249,11219.0
6,11,1,70,29115.0
1,5,1,250,21997.0
3,8,3,251,8096.0
4,3,3,252,14430.0
1,13,3,253,2481.0
0,3,3,108,11789.0
0,9,3,254,9310.0
1,13,3,255,3484.0
2,14,1,256,30256.0
0,7,0,257,6813.0
2,10,0,258,5444.0
3,2,0,40,7206.0
3,3,0,259,3759.0
3,1,1,260,17387.0
3,7,0,261,10673.0
1,7,0,262,4889.0
2,9,2,263,7345.0
4,9,2,264,6941.0
3,14,1,265,25745.0
1,13,3,243,3306.5
1,3,3,266,8529.0
1,13,3,267,8613.0
2,3,0,268,11720.5
2,1,0,269,7160.0
2,7,0,66,11654.0
5,3,0,0,22758.5
3,9,1,270,27259.0
3,5,1,271,22669.0
4,9,1,272,30473.0
5,14,1,273,32280.0
4,3,0,113,6880.0
4,1,0,274,8771.0
4,6,0,275,24428.75
2,5,1,276,45464.0
0,6,0,277,8449.5
0,12,0,278,7089.0
0,5,0,188,5830.0
2,10,1,279,26779.0
2,2,0,280,9098.0
2,1,0,248,6402.0
6,2,0,281,19546.0
2,2,0,282,18047.0
2,2,0,283,5053.0
4,10,2,221,11562.0
0,9,3,284,3578.0
3,7,0,285,7800.0
6,2,0,286,22412.0
1,4,0,62,18758.0
0,3,2,287,5925.0
4,2,3,288,21798.0
3,5,3,289,14384.0
1,2,0,290,8406.0
3,3,0,291,7639.0
3,0,0,292,7578.0
0,9,1,293,26828.0
4,13,2,294,6650.0
4,0,2,213,9064.0
4,11,2,295,14928.0
3,5,0,296,8547.0
4,9,0,297,21589.0
1,13,2,186,2643.5
3,4,2,298,25258.0
2,11,3,299,7701.0
6,13,4,300,499.5
0,11,4,301,745.0
3,9,1,302,27372.0
1,13,0,303,2571.5
1,14,0,304,12078.0
1,7,1,305,45669.0
2,12,1,306,31849.0
4,2,1,279,34672.0
2,9,3,307,7861.0
3,9,3,308,6593.0
5,4,3,309,21123.0
6,5,3,310,10166.0
6,9,3,311,16870.0
0,10,3,312,7138.0
6,7,1,313,48364.0
6,2,2,314,7626.0
6,14,2,315,7754.0
0,0,2,316,5382.0
2,8,1,317,29423.0
3,14,1,318,25777.0
1,4,3,319,14200.0
3,4,3,320,32939.0
6,6,1,321,52587.5
3,9,2,322,14449.0
4,13,2,323,3114.5
4,4,2,324,6975.0
6,9,2,325,14350.0
3,3,2,326,13135.5
5,13,2,327,4523.5
1,1,3,328,3253.0
3,10,0,329,7358.0
3,4,0,330,8198.0
4,14,0,331,6989.0
5,7,1,332,87578.0
4,9,3,333,15922.0
5,11,3,334,7737.0
0,9,3,174,18820.0
4,10,3,116,5770.0
5,14,2,335,21897.0
0,8,3,336,10285.0
4,10,1,337,47535.0
3,5,2,338,11136.0
0,2,2,339,10950.0
4,11,1,340,25191.0
2,10,1,341,24282.0
6,2,0,261,14856.0
1,10,4,342,1272.0
2,0,4,343,1592.0
5,7,4,344,2241.0
2,6,2,345,25022.0
3,2,2,346,6361.0
3,4,1,347,33329.0
3,11,1,348,52231.0
4,2,1,349,38709.0
5,4,1,350,34437.0
6,12,1,44,28614.0
6,7,1,181,46975.0
0,12,1,212,29334.0
2,14,1,351,32563.0
0,6,1,352,49184.5
0,12,1,183,25475.0
2,11,2,353,6345.0
1,9,1,354,109740.0
1,4,2,355,7593.0
3,10,2,356,4913.0
3,4,2,357,16485.0
4,1,2,358,5943.0
4,4,2,359,7564.0
5,12,2,360,6135.0
6,6,2,361,38586.75
6,12,2,185,5065.0
0,12,2,362,6636.0
0,11,2,363,6940.0
1,2,2,364,12655.0
2,13,2,365,5066.0
2,1,2,366,7965.0
2,7,2,263,7008.0
2,10,3,220,5757.0
6,9,2,367,5654.0
3,0,1,368,66941.0
2,11,1,369,27723.0
2,7,1,202,41511.0
3,11,1,370,23390.0
1,10,2,371,4102.0
2,3,2,294,8772.5
4,14,1,313,31774.0
3,7,2,372,13781.0
4,13,2,373,3310.0
4,12,2,295,23923.0
4,7,1,374,86367.0
4,9,1,128,25474.0
5,2,1,375,31147.0
5,10,1,376,47021.0
2,11,1,377,57469.0
5,12,1,378,26745.0
6,8,1,306,69439.0
4,10,1,374,78075.0
5,12,2,379,10993.0
6,3,2,380,7980.0
0,11,1,381,51495.0
2,10,2,382,18326.0
4,7,1,383,94444.0
5,1,2,326,7819.0
6,0,2,48,8249.0
0,1,2,384,5925.0
0,5,2,385,3610.0
3,6,2,386,10363.0
3,8,2,224,9671.0
1,2,1,387,28958.0
5,10,1,388,22663.0
5,7,2,389,13429.0
0,12,2,390,5468.0
1,7,2,391,13163.0
2,5,2,392,7204.0
4,8,1,340,38157.0
4,14,1,393,33659.0
1,6,3,394,8958.5
1,4,3,395,11339.0
2,2,3,396,7245.0
2,1,3,397,6842.0
1,7,1,398,46799.0
4,5,4,399,809.0
5,7,4,400,5547.0
4,2,1,401,30950.0
3,11,1,402,28716.0
6,10,1,403,46319.0
1,8,1,404,35644.0
3,7,2,405,9155.0
4,3,2,406,6957.5
5,14,2,124,7695.0
1,4,2,407,6726.0
2,6,2,408,35459.75
2,5,2,409,5183.0
3,9,2,410,4854.0
4,11,2,345,13202.0
1,8,3,411,5977.0
3,10,3,412,6158.0
5,14,2,413,14997.0
5,5,2,414,7157.0
0,6,2,415,20067.75
1,7,2,416,13898.0
2,10,2,417,10972.0
3,0,2,339,15452.0
3,12,2,418,8598.0
1,9,1,419,31035.0
6,8,3,116,10738.0
3,3,1,420,30848.5
5,0,2,421,5600.0
5,0,2,422,11340.0
6,3,2,423,5843.0
4,12,3,424,14805.0
2,9,3,425,10313.0
6,5,2,426,16444.0
1,2,2,338,6322.0
3,9,0,427,9561.0
3,11,2,428,4966.0
4,11,1,429,55138.0
0,11,0,430,6008.0
1,6,2,431,23866.25
3,11,1,432,28633.0
3,1,2,433,5207.0
6,11,2,434,6174.0
6,8,3,411,8492.0
1,6,3,435,8931.75
2,8,1,436,35828.0
2,11,1,437,29967.0
1,0,1,438,34116.0
1,12,1,439,29993.0
0,10,2,440,6504.0
2,1,2,441,3602.0
1,2,2,442,10879.0
1,11,2,443,5516.0
0,11,3,444,6524.0
5,4,2,417,19232.0
5,9,2,445,6686.0
2,2,2,446,8357.0
5,8,3,447,10898.0
0,14,3,448,3466.0
0,7,3,449,18484.0
0,0,0,54,8631.0
3,0,0,450,19744.0
1,12,1,451,26641.0
3,3,3,319,15324.5
2,5,3,452,4472.0
0,3,0,453,4571.5
1,0,0,454,9501.0
1,5,1,455,24791.0
1,11,1,456,24453.0
2,1,1,403,17204.0
2,8,1,439,33753.0
1,7,1,457,38916.0
3,4,3,458,20587.0
0,13,3,459,2932.0
2,3,0,238,11543.0
3,9,0,460,11837.0
4,2,0,461,8500.0
4,2,0,462,9262.0
0,3,3,36,6808.5
0,4,0,25,16328.0
3,7,0,463,12739.0
0,13,2,390,2829.0
1,2,2,464,10143.0
3,13,2,315,3207.5
2,8,0,463,9634.0
4,3,0,465,5968.5
6,3,0,466,4720.5
0,2,0,467,13230.0
2,1,0,468,2683.0
1,5,0,469,8846.0
1,11,0,470,6483.0
3,4,0,471,9511.0
4,8,0,247,12632.0
5,9,2,464,7161.0
1,5,2,472,6093.0
6,2,2,473,16457.0
4,9,2,6,13238.0
3,8,0,474,19168.0
4,0,0,475,10960.0
4,5,1,476,23927.0
5,8,1,477,95757.0
0,6,1,478,40783.0
1,14,3,479,5429.0
3,12,3,480,10228.0
3,9,3,481,13426.0
3,0,1,482,33453.0
1,3,0,483,5837.5
3,4,0,290,5007.0
5,3,0,178,8004.5
5,1,0,54,5918.0
6,3,0,484,6989.5
1,3,0,485,3558.5
5,3,0,461,8771.0
3,2,0,155,8901.0
5,2,1,404,34329.0
5,8,1,486,34549.0
5,7,1,487,37858.0
2,4,0,488,8857.0
6,9,2,489,16837.0
3,14,2,423,5814.0
1,4,0,484,6183.0
6,2,1,476,71450.0
2,9,1,490,33391.0
3,14,1,273,30587.0
3,3,0,491,6295.5
4,3,0,492,37452.5
3,7,1,493,86677.0
3,9,1,494,55260.0
4,13,1,495,14983.0
4,11,1,496,25277.0
5,8,1,497,33615.0
5,6,0,498,24800.25
0,8,0,499,7783.0
0,8,1,212,34608.0
5,9,3,500,15085.0
6,11,3,447,6815.0
4,7,1,501,44067.0
0,3,0,502,8648.0
0,10,0,503,4957.0
1,14,0,504,10655.0
2,6,0,505,12457.75
0,10,0,506,4260.0
2,13,0,491,3164.5
1,4,0,507,20644.0
2,11,0,508,7085.0
3,0,0,509,7331.0
1,0,0,510,5472.0
0,7,1,375,44981.0
0,9,1,511,58601.0
5,4,3,512,12653.0
5,7,3,513,13842.0
0,3,3,127,13112.0
3,9,0,514,7977.0
1,4,1,515,34689.0
6,13,1,516,28797.5
0,11,3,517,5915.0
1,1,3,518,3591.0
2,13,2,406,3042.0
2,2,2,519,7436.0
2,8,2,520,7742.0
3,7,2,520,9722.0
4,13,2,521,3269.0
4,0,2,215,7694.0
4,1,0,522,4691.0
6,2,0,523,7062.0
6,0,0,34,20841.0
3,11,1,212,30398.0
0,8,1,524,35298.0
2,3,3,525,5312.0
2,5,3,526,5964.0
4,3,3,527,14256.5
5,4,3,528,11432.0
2,3,0,529,5104.5
2,4,3,37,15044.0
4,8,3,530,6544.0
1,0,3,459,7739.0
2,14,3,531,7194.0
3,0,3,532,9241.0
5,9,3,533,10435.0
4,12,3,534,8516.0
4,7,3,65,23795.0
4,7,3,535,12774.0
1,0,0,536,8295.0
2,0,0,537,15244.0
3,9,2,538,5071.0
6,6,2,539,24118.25
6,4,3,540,9409.0
0,1,3,541,10563.0
1,0,3,131,8320.0
6,4,3,542,11546.0
0,14,3,153,5693.0
0,7,3,425,6731.0
4,7,0,26,6467.0
5,5,0,543,8320.0
5,9,0,544,14480.0
3,11,0,545,7005.0
6,9,0,30,11067.0
6,8,1,490,30536.0
0,13,1,546,13611.5
1,8,3,547,13464.0
1,11,3,548,5907.0
1,12,3,549,9760.0
0,6,0,470,13643.75
0,10,0,550,7937.0
0,0,0,135,6562.0
0,4,0,551,10653.0
2,7,4,552,2526.0
4,13,4,553,2880.5
6,2,4,554,1218.0
0,1,4,555,510.0
4,9,4,556,2470.0
4,2,4,557,768.0
3,6,1,558,81655.25
1,8,0,559,8482.0
2,14,0,560,5883.0
2,11,0,72,10575.0
3,13,0,561,3870.0
3,12,4,562,2083.0
4,1,4,563,842.0
0,9,4,564,1132.0
1,10,4,562,2102.0
1,13,4,344,1682.5
5,2,4,565,3642.0
6,2,4,566,1362.0
0,9,4,567,757.0
4,13,1,477,27807.5
4,13,1,568,15317.0
3,11,3,569,6668.0
4,13,3,570,4473.5
5,1,2,571,9591.0
6,13,2,415,4698.5
3,9,0,572,20799.0
4,10,0,1,4754.0
5,2,0,573,9904.0
5,2,0,281,13446.0
5,11,0,574,9967.0
4,8,3,575,9907.0
5,1,3,576,4678.0
5,0,3,577,9452.0
5,12,3,578,18142.0
6,12,3,579,8658.0
0,5,3,580,13057.0
1,6,3,581,13160.75
1,7,3,448,10668.0
6,2,0,536,22038.0
6,14,0,582,10428.0
6,4,0,583,12094.0
0,5,0,584,12508.0
2,14,1,585,53256.0
2,10,1,456,50877.0
3,11,0,586,8645.0
0,12,1,401,51079.0
0,12,1,96,30745.0
0,3,2,587,8366.5
3,6,2,588,11833.25
0,13,1,43,15358.0
2,13,2,589,2929.0
2,14,1,590,64399.0
1,11,1,436,46008.0
0,13,1,591,15160.5
4,1,4,344,385.0
6,12,4,592,3273.0
5,13,4,593,1300.0
6,2,4,594,1440.0
4,13,4,595,556.0
2,1,4,596,1098.0
2,11,1,67,49306.0
3,10,4,597,956.0
4,12,4,598,2546.0
4,11,4,599,836.0
2,9,4,600,821.0
3,7,4,601,1443.0
5,12,4,602,1331.0
5,4,4,603,1286.0
6,13,4,604,2992.5
3,10,4,605,962.0
5,11,4,606,2126.0
3,4,4,607,1809.0
4,7,4,608,1812.0
5,7,4,609,3972.0
6,1,4,610,804.0
6,4,4,611,4064.0
5,3,3,310,11089.0
1,9,0,304,6937.0
0,11,4,612,686.0
1,9,4,613,1330.0
2,9,4,614,939.0
1,2,4,615,1085.0
5,4,4,616,1344.0
0,4,4,617,2591.0
4,8,4,618,1711.0
5,14,4,619,3611.0
5,1,4,606,913.0
6,1,4,620,765.0
6,9,4,399,2165.0
4,12,4,301,2478.0
4,2,4,621,1267.0
3,5,1,622,24974.0
1,10,4,623,1008.0
1,9,4,624,1962.0
4,3,2,625,15770.0
6,7,4,626,1649.0
5,14,4,627,3074.0
0,10,1,628,21837.0
5,14,3,629,8027.0
5,9,3,130,7865.0
5,10,1,630,53686.0
0,3,2,631,5144.0
2,4,4,612,1677.0
1,10,4,632,680.0
6,5,3,633,11123.0
3,13,4,634,1300.5
1,1,4,635,1128.0
0,9,4,636,986.0
0,3,3,637,6375.5
0,11,3,241,10332.0
1,2,3,638,6554.0
2,9,3,528,25209.0
4,2,1,639,30021.0
4,12,1,640,27275.0
0,10,1,641,25696.0
4,0,1,642,33713.0
0,3,1,643,30052.0
0,7,1,644,118015.0
1,3,1,645,30731.5
1,5,1,646,50247.0
1,11,1,647,29008.0
2,14,1,648,31126.0
3,13,1,649,12935.5
5,11,1,650,25459.0
1,5,1,651,27561.0
5,12,0,652,8546.0
6,0,0,653,10090.0
2,1,2,49,2138.0
3,2,2,363,15655.0
4,2,2,654,7640.0
5,5,2,655,16457.0
5,1,2,47,6612.0
0,2,3,656,11901.0
1,2,2,298,7459.0
5,5,0,657,6883.0
5,11,0,658,12182.0
5,7,0,659,16556.0
4,9,1,497,57946.0
4,9,1,516,33007.0
0,0,1,660,33921.0
5,11,1,641,28403.0
0,9,1,661,25764.0
2,14,1,265,27115.0
2,8,1,662,73176.0
3,2,1,639,36441.0
1,5,0,663,6804.0
4,12,0,664,8337.0
4,4,1,490,35452.0
6,4,0,64,14407.0
5,1,1,665,14772.0
1,8,0,572,6691.0
2,0,0,268,7172.0
4,10,0,297,10427.0
6,13,0,666,5839.0
6,11,1,256,23903.0
0,6,1,645,49137.5
1,4,0,667,11213.0
0,1,1,668,15142.0
3,7,1,271,41757.0
5,7,1,669,48467.0
2,6,1,670,40393.75
4,9,0,303,9982.0
5,6,0,278,15709.0
6,3,0,671,9689.0
0,8,0,672,6465.0
3,6,0,673,11087.5
0,13,1,35,13841.0
1,8,1,674,34551.0
3,5,1,237,26423.0
4,7,1,70,46576.0
4,9,1,675,25859.0
3,5,0,561,5730.0
4,8,0,572,17299.0
5,2,0,676,9440.0
2,7,3,677,9792.0
4,8,3,678,9035.0
5,6,3,444,9397.5
6,1,3,679,8636.0
0,8,3,680,12331.0
1,4,3,681,8458.0
3,11,3,682,8044.0
4,2,3,683,8989.0
5,13,3,684,14022.0
6,8,3,396,7754.0
0,12,3,30,6487.0
1,2,3,685,11750.0
1,14,3,686,7005.0
2,5,3,687,6277.0
3,3,3,688,14683.0
4,6,3,166,14031.25
3,2,1,689,31125.0
6,2,3,112,5956.0
2,13,0,690,4849.0
4,2,0,691,15800.0
4,10,0,304,6247.0
4,2,3,172,7779.0
4,7,0,692,13285.0
6,7,0,693,22038.0
4,2,1,204,35944.0
0,11,1,694,25864.0
1,6,1,313,87556.75
1,3,0,24,10193.5
2,10,0,33,7461.0
2,9,0,695,8449.0
3,5,0,508,8395.0
4,7,0,696,13852.0
5,6,0,697,10091.25
5,1,0,529,2952.0
6,10,3,698,5612.0
0,3,3,525,12313.5
1,11,3,699,7023.0
1,7,3,700,12921.0
2,2,3,701,5799.0
5,4,0,484,24287.0
6,6,0,491,9167.75
2,9,0,702,16773.0
5,0,1,703,31587.0
3,4,3,704,10633.0
4,6,4,634,1610.5
5,7,4,705,3697.0
6,14,4,706,942.0
1,0,4,707,2787.0
2,10,4,708,2274.0
2,0,4,709,830.0
4,0,0,52,7290.0
5,9,1,710,29195.0
1,10,4,711,1093.0
1,5,4,606,1905.0
2,8,4,712,2095.0
3,12,4,713,1687.0
1,13,4,714,1458.0
3,6,4,715,2706.75
4,4,4,716,844.0
5,2,4,717,3079.0
0,7,4,718,3424.0
5,3,1,694,33623.0
5,2,0,719,9662.0
5,1,0,720,5278.0
3,1,0,721,11402.0
4,2,0,666,6151.0
5,1,0,702,14356.0
5,4,1,722,71019.0
5,9,1,107,31739.0
6,12,1,387,25991.0
0,6,0,723,10503.0
0,11,0,249,5525.0
6,1,3,724,3834.0
5,4,4,725,1844.0
0,1,4,726,1337.0
0,8,4,727,974.0
2,2,4,616,1509.0
2,7,4,728,1261.0
3,13,4,627,487.5
3,14,4,729,2323.0
3,6,4,730,2024.25
3,9,4,731,1219.0
3,6,4,732,3104.5
4,4,4,733,2629.0
6,5,4,731,1049.0
0,1,4,624,473.0
0,6,1,546,86112.0
3,10,0,136,7151.0
4,9,0,734,6041.0
1,2,0,735,6258.0
3,1,0,736,3506.0
1,2,1,737,28753.0
1,6,1,738,48800.75
6,0,0,739,5889.0
6,12,0,115,9021.0
6,11,0,200,5950.0
0,2,0,740,6555.0
0,5,0,741,5749.0
1,10,0,296,5040.0
1,7,0,742,10107.0
1,9,0,743,7119.0
0,11,1,194,53742.0
2,4,3,447,8644.0
4,10,3,232,4888.0
2,4,1,86,33963.0
0,9,1,744,30941.0
3,7,0,159,10783.0
3,11,0,745,6267.0
1,0,0,746,7509.0
1,12,0,747,6410.0
1,14,1,748,32432.0
6,6,3,749,9950.25
4,7,0,750,12137.0
5,3,0,751,7528.0
4,12,0,21,8068.0
5,11,1,752,24664.0
5,2,1,189,32598.0
5,2,1,436,38682.0
3,10,1,753,25559.0
5,5,0,754,5385.0
6,2,0,586,11867.0
6,12,0,755,7306.0
6,14,2,326,10033.0
0,13,2,756,3072.5
0,14,1,495,27275.0
6,13,1,757,32119.0
5,10,1,758,24409.0
2,12,3,759,15784.0
2,12,3,760,16987.0
0,4,0,466,16707.0
5,3,0,761,11854.5
2,1,2,380,3865.0
3,6,2,762,10436.75
6,7,0,763,15374.0
3,3,0,41,10301.0
5,10,2,764,4747.0
0,4,2,765,14306.0
5,3,0,32,15637.5
6,3,0,249,5653.5
0,3,0,766,4820.0
2,0,0,296,6170.0
3,1,0,201,3157.0
3,13,2,767,2443.0
6,6,2,768,11045.0
0,7,0,769,12652.0
1,1,0,770,10281.0
2,2,0,278,6975.0
2,2,2,625,8189.0
2,9,2,771,6328.0
3,9,2,170,14156.0
4,13,2,772,4053.5
6,8,1,773,74172.0
4,11,0,550,6196.0
0,9,0,774,6484.0
1,8,0,15,15728.0
2,11,0,775,8384.0
2,9,0,454,6835.0
4,14,0,200,5473.0
4,8,0,776,9327.0
3,14,3,777,7445.0
3,11,3,724,5824.0
4,4,3,778,12387.0
4,7,3,633,24144.0
6,5,0,779,16013.0
3,3,0,672,6800.5
4,2,0,780,13990.0
6,1,0,291,11220.0
3,1,0,763,2958.0
0,3,4,781,1104.0
4,13,4,782,1351.5
1,1,4,732,1535.0
5,11,2,783,5943.0
4,2,2,784,6982.0
4,1,2,785,5497.0
4,4,2,287,9451.0
5,10,2,786,8350.0
5,4,2,787,9609.0
5,9,2,788,6773.0
3,8,1,43,31921.0
2,10,2,789,5367.0
3,3,2,790,7226.5
5,8,1,791,31082.0
5,4,2,792,8301.0
6,10,2,360,4534.0
3,6,2,793,6997.5
4,4,2,794,11298.0
5,2,2,795,6801.0
2,3,0,796,6538.5
4,4,0,92,13127.0
3,5,0,797,6857.0
4,3,0,274,8585.5
0,3,3,798,5530.5
2,3,3,799,17511.5
3,13,3,800,2637.0
5,9,3,801,5735.0
1,9,3,802,26049.0
1,5,0,468,5149.0
1,8,0,22,7933.0
2,12,0,803,7181.0
5,13,1,804,15851.0
0,5,0,291,8712.0
2,2,0,805,10314.0
3,6,0,806,9471.5
3,1,0,574,12297.0
1,0,1,773,33054.0
6,7,0,807,15588.0
0,9,0,509,4857.0
1,9,0,81,5913.0
2,0,0,544,8527.0
2,7,0,808,8002.0
6,9,3,809,4937.0
0,9,3,810,5315.0
3,6,0,811,14649.75
3,13,1,812,16289.5
0,4,3,231,8168.0
2,5,3,799,4848.0
3,13,1,646,17077.5
3,2,1,737,36317.0
3,14,1,501,57101.0
5,2,1,813,38675.0
1,11,1,814,24551.0
5,8,1,476,30395.0
0,4,1,558,41576.0
0,12,2,223,4139.0
1,11,2,815,8908.0
2,3,1,816,33734.5
3,4,3,817,7794.0
3,9,3,158,12523.0
5,13,3,412,4463.0
0,12,3,818,7199.0
2,5,1,819,26018.0
3,2,1,820,69348.0
4,10,1,748,45400.0
3,7,1,313,41938.0
2,4,2,414,9081.0
3,10,3,166,7542.0
3,5,3,801,5950.0
5,11,3,821,18698.0
5,7,3,822,11774.0
3,1,2,823,3467.0
4,14,2,824,7370.0
